television receiver,identity,tv
shelf,identity,shelf
microwave,identity,microwave
bed,identity,bed
refrigerator,identity,refrigerator
rock,identity,rock-merged
curtain,identity,curtain
bicycle,identity,bicycle
bag,identity,handbag
vase,identity,vase
minibike,identity,motorcycle
box,identity,cardboard
oven,identity,oven
bench,identity,bench
bus,identity,bus
mirror,identity,mirror-stuff
bottle,identity,bottle
airplane,identity,airplane
sea,identity,sea
towel,identity,towel
ball,identity,sports ball
blind,identity,window-blind
sink,identity,sink
traffic light,identity,traffic light
fence,identity,fence-merged
ceiling,identity,ceiling-merged
clock,identity,clock
windowpane,identity,window-other
sky,identity,sky-other-merged
book,identity,book
blanket,identity,blanket
toilet,identity,toilet
truck,identity,truck
person,identity,person
sofa,identity,couch
plaything,parent,teddy bear
wall,parent,wall-stone
wall,parent,wall-tile
wall,parent,wall-brick
wall,parent,wall-other-merged
wall,parent,wall-wood
animal,parent,horse
animal,parent,dog
animal,parent,cow
animal,parent,cat
animal,parent,zebra
animal,parent,sheep
animal,parent,bear
animal,parent,bird
animal,parent,giraffe
animal,parent,elephant
glass,parent,wine glass
glass,parent,cup
food,parent,fruit
food,parent,cake
food,parent,pizza
food,parent,sandwich
food,parent,food-other-merged
chandelier,child,light
sconce,child,light
streetlight,child,light
lamp,child,light
light,child,light
pillow,child,pillow
cushion,child,pillow
awning,child,tent
tent,child,tent
counter,child,counter
countertop,child,counter
stairway,child,stairs
stairs,child,stairs
hill,child,mountain-merged
mountain,child,mountain-merged
seat,child,chair
armchair,child,chair
ottoman,child,chair
swivel chair,child,chair
chair,child,chair
stool,child,chair
screen door,child,door-stuff
door,child,door-stuff
van,child,car
car,child,car
boat,child,boat
ship,child,boat
floor,overlap,rug-merged
floor,parent,floor-other-merged
floor,parent,floor-wood
rug,child,rug-merged
pier,overlap,platform
pier,overlap,bridge
bridge,child,bridge
runway,overlap,pavement-merged
sidewalk,child,pavement-merged
path,child,pavement-merged
runway,overlap,road
road,child,road
house,sibling,building-other-merged
grandstand,sibling,house
tower,sibling,house
tower,has_part,roof
hovel,sibling,house
hovel,has_part,roof
building,sibling,house
building,has_part,roof
house,has_part,roof
building,child,building-other-merged
tower,child,building-other-merged
hovel,child,building-other-merged
grandstand,child,building-other-merged
booth,sibling,house
booth,child,building-other-merged
skyscraper,sibling,house
house,identity,house
skyscraper,child,building-other-merged
flower,sibling,tree-merged
tree,sibling,flower
palm,sibling,flower
flower,identity,flower
palm,child,tree-merged
tree,child,tree-merged
lake,sibling,river
river,sibling,water-other
river,identity,river
lake,child,water-other
fountain,child,water-other
waterfall,child,water-other
water,child,water-other
swimming pool,child,water-other
grass,sibling,sand
earth,sibling,sand
earth,sibling,grass-merged
dirt track,sibling,sand
dirt track,sibling,grass-merged
field,sibling,dirt-merged
field,sibling,sand
sand,sibling,dirt-merged
grass,sibling,dirt-merged
earth,child,dirt-merged
dirt track,child,dirt-merged
land,parent,dirt-merged
sand,sibling,grass-merged
field,child,grass-merged
grass,child,grass-merged
land,parent,grass-merged
land,parent,sand
sand,identity,sand
coffee table,sibling,dining table
kitchen island,overlap,table-merged
kitchen island,overlap,dining table
table,sibling,cabinet-merged
buffet,child,cabinet-merged
wardrobe,child,cabinet-merged
cabinet,child,cabinet-merged
chest of drawers,child,cabinet-merged
table,overlap,table-merged
pool table,child,table-merged
desk,child,table-merged
coffee table,child,table-merged
table,overlap,dining table
pot,part_of,potted plant
